family,task,backbone,split,mode,condition,n,physical_task_seeds,success_percent,final_success_percent,support_successes,eligible_n,eligible_success_percent,metric,max,mean,median,min,q25,q75,actual_calls_mean,success_calls_mean,budget_penalized_commands_mean,failures
core,reacher,transformer,extrapolation,frozen,"[3, 0]",64,64,7.8125,7.8125,0,64,7.8125,wrapped_joint_error_rad,3.6095728204571293,1.6721505937556302,1.6528968883658943,0.022199064373640116,1.024630653888346,2.233373194296894,47.9375,23.6,47.9375,59
core,reacher,transformer,extrapolation,frozen,"[3, 3]",64,64,6.25,6.25,0,64,6.25,wrapped_joint_error_rad,3.7951106407915174,1.7303448453340597,1.6717183184046496,0.01656364065793043,1.0715461750687014,2.2604763760608106,48.421875,24.75,48.421875,60
core,reacher,transformer,extrapolation,plain,all,576,64,19.96527777777778,19.96527777777778,0,576,19.96527777777778,wrapped_joint_error_rad,3.760451534111809,0.9690109196652474,0.7627253840972963,0.004550955460134269,0.20770155571763432,1.5158795751256782,46.244791666666664,31.191304347826087,46.244791666666664,461
core,reacher,transformer,extrapolation,plain,"[0, 3]",192,64,43.229166666666664,43.229166666666664,0,192,43.229166666666664,wrapped_joint_error_rad,0.919997403405075,0.2082446391120806,0.13881648107194855,0.005983881016954564,0.04598920497051417,0.31156765025980204,42.885416666666664,33.54216867469879,42.885416666666664,109
core,reacher,transformer,extrapolation,plain,"[3, 0]",192,64,8.854166666666666,8.854166666666666,0,192,8.854166666666666,wrapped_joint_error_rad,3.449911633817912,1.3062792919790194,1.2584328477700883,0.004550955460134269,0.6503689854989487,1.8819090267019467,47.838541666666664,25.58823529411765,47.838541666666664,175
core,reacher,transformer,extrapolation,plain,"[3, 3]",192,64,7.8125,7.8125,0,192,7.8125,wrapped_joint_error_rad,3.760451534111809,1.3925088279046427,1.279899830738119,0.014132068512751226,0.8387740764256438,2.0566675390561326,48.010416666666664,24.533333333333335,48.010416666666664,177
core,reacher,transformer,extrapolation,single,all,576,64,16.84027777777778,16.84027777777778,0,576,16.84027777777778,wrapped_joint_error_rad,3.70358535941492,1.03845310496418,0.8053949378320822,0.005325243035115049,0.2657674624489871,1.5919999412175647,47.52430555555556,35.29896907216495,47.52430555555556,479
core,reacher,transformer,extrapolation,single,"[0, 3]",192,64,39.0625,39.0625,0,192,39.0625,wrapped_joint_error_rad,1.0021550462906026,0.24968243191760067,0.20355970770448206,0.010069066411526406,0.046986445447135594,0.4048147323263125,45.015625,37.24,45.015625,117
core,reacher,transformer,extrapolation,single,"[3, 0]",192,64,5.729166666666667,5.729166666666667,0,192,5.729166666666667,wrapped_joint_error_rad,3.70358535941492,1.4422030991995278,1.3343677649278818,0.02430965859679547,0.7878311110366165,2.047041274209271,48.895833333333336,30.727272727272727,48.895833333333336,181
core,reacher,transformer,extrapolation,single,"[3, 3]",192,64,5.729166666666667,5.729166666666667,0,192,5.729166666666667,wrapped_joint_error_rad,3.329430419452824,1.4234737837754114,1.4354316895894592,0.005325243035115049,0.8024466911558458,1.9737624002190048,48.661458333333336,26.636363636363637,48.661458333333336,181
core,reacher,transformer,test,factorized,all,1728,64,38.94675925925926,38.94675925925926,0,1728,38.94675925925926,wrapped_joint_error_rad,3.087580981750469,0.3204225025120448,0.22018524921406302,0.0021813692910033146,0.04734785816675354,0.46854895083249193,43.38194444444444,33.007429420505204,43.38194444444444,1055
core,reacher,transformer,test,factorized,"[0, 0]",192,64,43.75,43.75,0,192,43.75,wrapped_joint_error_rad,0.8696100086589869,0.21172115972210995,0.11031200909227581,0.009550016440720706,0.04540088664093024,0.35860485085475297,42.182291666666664,32.13095238095238,42.182291666666664,108
core,reacher,transformer,test,factorized,"[0, 1]",192,64,46.875,46.875,0,192,46.875,wrapped_joint_error_rad,0.7625093149261415,0.21477621392696422,0.15327910745486156,0.004215867673571652,0.04414964875891439,0.3471450201756203,42.661458333333336,34.34444444444444,42.661458333333336,102
